[2025-08-08 21:29:57] test notification hook
[2025-08-08 21:30:35] ENV_DEBUG: COMMAND_MODE=unix2003; CLAUDE_CODE_ENTRYPOINT=cli; CLAUDECODE=1
[2025-08-08 21:38:00] ENV_DEBUG: CLAUDE_CODE_ENTRYPOINT=cli; CLAUDE_PROJECT_DIR=/Users/davidg/code/style-generator; COMMAND_MODE=unix2003
[2025-08-08 21:39:03] ENV_DEBUG: CLAUDE_CODE_ENTRYPOINT=cli; CLAUDE_PROJECT_DIR=/Users/davidg/code/style-generator; COMMAND_MODE=unix2003
[2025-08-08 21:42:13] ENV_DEBUG: CLAUDE_CODE_ENTRYPOINT=cli; CLAUDE_PROJECT_DIR=/Users/davidg/code/style-generator; COMMAND_MODE=unix2003
[2025-08-08 21:44:55] ENV_DEBUG: CLAUDE_CODE_ENTRYPOINT=cli; CLAUDE_PROJECT_DIR=/Users/davidg/code/style-generator; COMMAND_MODE=unix2003
[2025-08-08 21:56:02] ENV_DEBUG: CLAUDE_CODE_ENTRYPOINT=cli; CLAUDE_PROJECT_DIR=/Users/davidg/code/style-generator; COMMAND_MODE=unix2003
[2025-08-08 22:01:43] ENV_DEBUG: CLAUDE_CODE_ENTRYPOINT=cli; CLAUDE_PROJECT_DIR=/Users/davidg/code/style-generator; COMMAND_MODE=unix2003
[2025-08-08 22:02:06] ENV_DEBUG: CLAUDE_CODE_ENTRYPOINT=cli; CLAUDE_PROJECT_DIR=/Users/davidg/code/style-generator; COMMAND_MODE=unix2003
[2025-08-08 22:02:43] ENV_DEBUG: CLAUDE_CODE_ENTRYPOINT=cli; CLAUDE_PROJECT_DIR=/Users/davidg/code/style-generator; COMMAND_MODE=unix2003
[2025-08-08 22:03:23] ENV_DEBUG: CLAUDE_CODE_ENTRYPOINT=cli; CLAUDE_PROJECT_DIR=/Users/davidg/code/style-generator; COMMAND_MODE=unix2003
[2025-08-08 22:04:39] ENV_DEBUG: CLAUDE_CODE_ENTRYPOINT=cli; CLAUDE_PROJECT_DIR=/Users/davidg/code/style-generator; COMMAND_MODE=unix2003
[2025-08-08 22:05:00] ENV_DEBUG: CLAUDE_CODE_ENTRYPOINT=cli; CLAUDE_PROJECT_DIR=/Users/davidg/code/style-generator; COMMAND_MODE=unix2003
[2025-08-08 22:05:20] ENV_DEBUG: CLAUDE_CODE_ENTRYPOINT=cli; CLAUDE_PROJECT_DIR=/Users/davidg/code/style-generator; COMMAND_MODE=unix2003
[2025-08-08 22:10:06] ENV_DEBUG: CLAUDE_CODE_ENTRYPOINT=cli; CLAUDE_PROJECT_DIR=/Users/davidg/code/style-generator; COMMAND_MODE=unix2003
